"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\path.cpp", "C++", 83, 0, 0, 0, 0, 0, 15, 13, 111
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\storage.cpp", "C++", 633, 0, 0, 0, 0, 0, 230, 152, 1015
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\storage_reference.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\storage_transport.cpp", "C++", 12, 0, 0, 0, 0, 0, 3, 7, 22
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 3, 3
"e:\Projects\VScodeProjects\ocibuilder_init\execute\toml\decode.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\VScodeProjects\ocibuilder_init\execute\transports\transports.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 1, 34
"e:\Projects\VScodeProjects\ocibuilder_init\execute\types\options.cpp", "C++", 373, 0, 0, 0, 0, 0, 185, 63, 621
"e:\Projects\VScodeProjects\ocibuilder_init\execute\unshare\unshare_linux.cpp", "C++", 9, 0, 0, 0, 0, 0, 2, 1, 12
"e:\Projects\VScodeProjects\ocibuilder_init\execute\util\util.cpp", "C++", 83, 0, 0, 0, 0, 0, 22, 11, 116
"e:\Projects\VScodeProjects\ocibuilder_init\execute\v1\descriptor.cpp", "C++", 1, 0, 0, 0, 0, 0, 6, 1, 8
"e:\Projects\VScodeProjects\ocibuilder_init\include\alltransports\alltransports.h", "C++", 10, 0, 0, 0, 0, 0, 0, 4, 14
"e:\Projects\VScodeProjects\ocibuilder_init\include\attributedstring\slice.h", "C++", 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\Projects\VScodeProjects\ocibuilder_init\include\auth\auth.h", "C++", 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\buildah.h", "C++", 87, 0, 0, 0, 0, 0, 38, 42, 167
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\commit.h", "C++", 41, 0, 0, 0, 0, 0, 25, 26, 92
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\common.h", "C++", 41, 0, 0, 0, 0, 0, 0, 5, 46
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\digester.h", "C++", 30, 0, 0, 0, 0, 0, 10, 8, 48
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\image.h", "C++", 50, 0, 0, 0, 0, 0, 1, 3, 54
"e:\Projects\VScodeProjects\ocibuilder_init\include\buildah\util.h", "C++", 20, 0, 0, 0, 0, 0, 0, 3, 23
"e:\Projects\VScodeProjects\ocibuilder_init\include\bytes\buffer.h", "C++", 27, 0, 0, 0, 0, 0, 5, 5, 37
"e:\Projects\VScodeProjects\ocibuilder_init\include\capabilities\capabilities.h", "C++", 3, 0, 0, 0, 0, 0, 0, 4, 7
"e:\Projects\VScodeProjects\ocibuilder_init\include\cgroupv2\cgroups_linux.h", "C++", 20, 0, 0, 0, 0, 0, 2, 2, 24
"e:\Projects\VScodeProjects\ocibuilder_init\include\cli\build.h", "C++", 124, 0, 0, 0, 0, 0, 141, 9, 274
"e:\Projects\VScodeProjects\ocibuilder_init\include\cli\common.h", "C++", 26, 0, 0, 0, 0, 0, 13, 0, 39
"e:\Projects\VScodeProjects\ocibuilder_init\include\cobra\args.h", "C++", 13, 0, 0, 0, 0, 0, 11, 2, 26
"e:\Projects\VScodeProjects\ocibuilder_init\include\cobra\command.h", "C++", 92, 0, 0, 0, 0, 0, 50, 8, 150
"e:\Projects\VScodeProjects\ocibuilder_init\include\cobra\error.h", "C++", 24, 0, 0, 0, 0, 0, 19, 5, 48
"e:\Projects\VScodeProjects\ocibuilder_init\include\cobra\flag.h", "C++", 81, 0, 0, 0, 0, 0, 27, 5, 113
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\config.h", "C++", 226, 0, 0, 0, 0, 0, 184, 142, 552
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\config_local.h", "C++", 4, 0, 0, 0, 0, 0, 0, 4, 8
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\default_linux.h", "C++", 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\defaut.h", "C++", 25, 0, 0, 0, 0, 0, 1, 10, 36
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\new.h", "C++", 33, 0, 0, 0, 0, 0, 5, 6, 44
